Text	Coref	Values
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('Đầu bếp Hoàng', 0, 12), ('nước ngoài', 38, 47))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('Đầu bếp Hoàng', 0, 12), ('đội tuyển quốc gia', 62, 79))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('Đầu bếp Hoàng', 0, 12), ('năm 2004', 87, 94))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('Đầu bếp Hoàng', 0, 12), ('thành viên', 109, 118))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('Đầu bếp Hoàng', 0, 12), ('Ông', 140, 142))	True
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('Đầu bếp Hoàng', 0, 12), ('yếu tố', 156, 161))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('Đầu bếp Hoàng', 0, 12), ('thương hiệu của Nishi', 171, 191))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('Đầu bếp Hoàng', 0, 12), ('món', 196, 198))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('Đầu bếp Hoàng', 0, 12), ('sự chu toàn', 209, 219))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('nước ngoài', 38, 47), ('đội tuyển quốc gia', 62, 79))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('nước ngoài', 38, 47), ('năm 2004', 87, 94))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('nước ngoài', 38, 47), ('thành viên', 109, 118))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('nước ngoài', 38, 47), ('Ông', 140, 142))	False
